year,session,subject,source_url,files_collected,status,note
2022,May 2022,Business Management,https://dl.ibdocs.re/past-papers/2022/may-2022,23,collected,All matching normal-session subject links collected
2022,November 2022,Business Management,https://dl.ibdocs.re/past-papers/2022/november-2022,18,collected,All matching normal-session subject links collected
2023,May 2023,Business Management,https://dl.ibdocs.re/past-papers/2023/may-2023,34,collected,31 normal-session files plus 3 additional files from More Papers M23
2023,November 2023,Business Management,https://dl.ibdocs.re/past-papers/2023/november-2023,26,collected,All matching normal-session subject links collected
2024,May 2024,Business Management,https://dl.ibdocs.re/past-papers/2024/may-2024,29,collected,All matching normal-session subject links collected
2024,November 2024,Business Management,https://dl.ibdocs.re/past-papers/2024/november-2024,24,collected,All matching normal-session subject links collected
2025,May 2025,Business Management,https://dl.ibdocs.re/past-papers/2025/may-2025,41,collected,All matching normal-session subject links collected
2025,November 2025,Business Management,https://dl.ibdocs.re/past-papers/2025/november-2025,23,collected,All matching normal-session subject links collected
2026,May 2026,Business Management,https://dl.ibdocs.re/past-papers/2026/more-papers-m26,0,unavailable_on_mirror_as_of_2026-09-02,The available 38-document M26 listing contained no Business Management match
2026,November 2026,Business Management,https://dl.ibdocs.re/past-papers/2026,0,session_not_listed_as_of_2026-09-02,November 2026 had not occurred and no archive was listed
