archive_year,subject,file_count,total_bytes,sessions,status,source_year_url,note
2022,English A Language and Literature,9,12076684,May 2022 Examination Session; November 2022 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2022,All matching files discovered in the crawled session pages were retained and hash-verified.
2022,English A Literature,9,6669710,May 2022 Examination Session; November 2022 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2022,All matching files discovered in the crawled session pages were retained and hash-verified.
2022,English B,32,104227446,May 2022 Examination Session; November 2022 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2022,All matching files discovered in the crawled session pages were retained and hash-verified.
2022,Korean A Language and Literature,3,2243198,May 2022 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2022,All matching files discovered in the crawled session pages were retained and hash-verified.
2022,Korean A Literature,6,5185794,May 2022 Examination Session; November 2022 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2022,All matching files discovered in the crawled session pages were retained and hash-verified.
2022,Japanese A Language and Literature,3,2972507,November 2022 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2022,All matching files discovered in the crawled session pages were retained and hash-verified.
2022,Japanese A Literature,3,2263418,May 2022 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2022,All matching files discovered in the crawled session pages were retained and hash-verified.
2022,Spanish A Language and Literature,6,9182364,May 2022 Examination Session; November 2022 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2022,All matching files discovered in the crawled session pages were retained and hash-verified.
2022,Spanish A Literature,6,3934726,May 2022 Examination Session; November 2022 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2022,All matching files discovered in the crawled session pages were retained and hash-verified.
2022,Spanish B,32,108592876,May 2022 Examination Session; November 2022 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2022,All matching files discovered in the crawled session pages were retained and hash-verified.
2023,English A Language and Literature,19,33551612,May 2023 Examination Session; More Papers M23; November 2023 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2023,All matching files discovered in the crawled session pages were retained and hash-verified.
2023,English A Literature,18,14584893,May 2023 Examination Session; More Papers N23; November 2023 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2023,All matching files discovered in the crawled session pages were retained and hash-verified.
2023,English B,43,123481411,May 2023 Examination Session; More Papers M23; November 2023 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2023,All matching files discovered in the crawled session pages were retained and hash-verified.
2023,Korean A Language and Literature,8,8418604,May 2023 Examination Session; November 2023 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2023,All matching files discovered in the crawled session pages were retained and hash-verified.
2023,Korean A Literature,8,5622275,May 2023 Examination Session; November 2023 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2023,All matching files discovered in the crawled session pages were retained and hash-verified.
2023,Japanese A Language and Literature,8,16792788,May 2023 Examination Session; November 2023 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2023,All matching files discovered in the crawled session pages were retained and hash-verified.
2023,Japanese A Literature,8,4764313,May 2023 Examination Session; November 2023 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2023,All matching files discovered in the crawled session pages were retained and hash-verified.
2023,Spanish A Language and Literature,10,9736461,May 2023 Examination Session; More Papers M23; November 2023 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2023,All matching files discovered in the crawled session pages were retained and hash-verified.
2023,Spanish A Literature,9,4879521,May 2023 Examination Session; November 2023 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2023,All matching files discovered in the crawled session pages were retained and hash-verified.
2023,Spanish B,33,109966178,May 2023 Examination Session; November 2023 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2023,All matching files discovered in the crawled session pages were retained and hash-verified.
2024,English A Language and Literature,18,27993191,May 2024 Examination Session; More Papers N24; November 2024 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2024,All matching files discovered in the crawled session pages were retained and hash-verified.
2024,English A Literature,16,9484199,May 2024 Examination Session; November 2024 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2024,All matching files discovered in the crawled session pages were retained and hash-verified.
2024,English B,42,107859339,May 2024 Examination Session; More Papers M24; November 2024 Examination Session,available_in_mirror_snapshot,https://dl.ibdocs.re/past-papers/2024,All matching files discovered in the crawled session pages were retained and hash-verified.
