source_url,source_page_url,archive_year,session,subject,language_variant,material_type,archive_path,local_path,media_type,file_size_bytes,sha256,retrieved_on,status,verification_status,rights_note,note
https://ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/audio/m222abenghliengtz0xxl.mp3,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/audio,2022,May 2022 Examination Session,English B,English; HL,audio recording,May 2022 Examination Session/audio/m222abenghliengtz0xxl.mp3,resources/private/past-papers/2022-2026/languages/2022/May 2022 Examination Session/audio/m222abenghliengtz0xxl.mp3,audio/mpeg,24641165,869e8b97aee03fa92aa7c2346f9881d45cbc3ccdde0abcd6aba8effc894cf258,2026-09-02,existing_verified,size_and_sha256_verified,"Private reference copy; the source page states CC BY-NC-ND 4.0 for the webpage, but rights for the exam file are not stated and are presumed third-party/IB copyright. Do not redistribute or commit the binary.",Opaque archive filename decoded from IB subject code: abeng = English B; abspa = Spanish B.
https://ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/audio/m222abengsliengtz0xxl.mp3,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/audio,2022,May 2022 Examination Session,English B,English; SL,audio recording,May 2022 Examination Session/audio/m222abengsliengtz0xxl.mp3,resources/private/past-papers/2022-2026/languages/2022/May 2022 Examination Session/audio/m222abengsliengtz0xxl.mp3,audio/mpeg,19189690,3cb57fd14326d43cf829663d4379bade430f4aa00cff9ee4a190c9d7721e142d,2026-09-02,existing_verified,size_and_sha256_verified,"Private reference copy; the source page states CC BY-NC-ND 4.0 for the webpage, but rights for the exam file are not stated and are presumed third-party/IB copyright. Do not redistribute or commit the binary.",Opaque archive filename decoded from IB subject code: abeng = English B; abspa = Spanish B.
https://ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/audio/m222abspahlispatz0xxl.mp3,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/audio,2022,May 2022 Examination Session,Spanish B,Spanish; HL,audio recording,May 2022 Examination Session/audio/m222abspahlispatz0xxl.mp3,resources/private/past-papers/2022-2026/languages/2022/May 2022 Examination Session/audio/m222abspahlispatz0xxl.mp3,audio/mpeg,25587940,f9957b54f6f29882296867af2f234969b9a496bf3ae765489d430c13eb47f2fe,2026-09-02,existing_verified,size_and_sha256_verified,"Private reference copy; the source page states CC BY-NC-ND 4.0 for the webpage, but rights for the exam file are not stated and are presumed third-party/IB copyright. Do not redistribute or commit the binary.",Opaque archive filename decoded from IB subject code: abeng = English B; abspa = Spanish B.
https://ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/audio/m222abspaslispatz0xxl.mp3,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/audio,2022,May 2022 Examination Session,Spanish B,Spanish; SL,audio recording,May 2022 Examination Session/audio/m222abspaslispatz0xxl.mp3,resources/private/past-papers/2022-2026/languages/2022/May 2022 Examination Session/audio/m222abspaslispatz0xxl.mp3,audio/mpeg,18815007,d9098dc78fac9cf77391befc54817354f0f58358907d2f40d355e1f46bd7c8df,2026-09-02,existing_verified,size_and_sha256_verified,"Private reference copy; the source page states CC BY-NC-ND 4.0 for the webpage, but rights for the exam file are not stated and are presumed third-party/IB copyright. Do not redistribute or commit the binary.",Opaque archive filename decoded from IB subject code: abeng = English B; abspa = Spanish B.
https://ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Language%20acquisition/English_B_listening_comprehension__HL_markscheme.pdf,https://dl.ibdocs.re/documents/english-b-listening-comprehension-hl-markscheme-faa1f765b57d8611,2022,May 2022 Examination Session,English B,English; HL,markscheme,May 2022 Examination Session/Language acquisition/English_B_listening_comprehension__HL_markscheme.pdf,resources/private/past-papers/2022-2026/languages/2022/May 2022 Examination Session/Language acquisition/English_B_listening_comprehension__HL_markscheme.pdf,application/pdf,470319,5fb6c0b7e33b43335340d8ed9c34ec34ee0cfc4e38c9fdb27ad7479167ec5924,2026-09-02,downloaded,size_and_sha256_verified,"Private reference copy; the source page states CC BY-NC-ND 4.0 for the webpage, but rights for the exam file are not stated and are presumed third-party/IB copyright. Do not redistribute or commit the binary.",
https://ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Language%20acquisition/English_B_listening_comprehension__HL.pdf,https://dl.ibdocs.re/documents/english-b-listening-comprehension-hl-d99e79e4e01ada2e,2022,May 2022 Examination Session,English B,English; HL,listening question paper/associated material,May 2022 Examination Session/Language acquisition/English_B_listening_comprehension__HL.pdf,resources/private/past-papers/2022-2026/languages/2022/May 2022 Examination Session/Language acquisition/English_B_listening_comprehension__HL.pdf,application/pdf,1231878,b2aca144e38816c8442cc54c9d6c5472eb1651fd4767ad5f848a5aa034245de0,2026-09-02,downloaded,size_and_sha256_verified,"Private reference copy; the source page states CC BY-NC-ND 4.0 for the webpage, but rights for the exam file are not stated and are presumed third-party/IB copyright. Do not redistribute or commit the binary.",
https://ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Language%20acquisition/English_B_listening_comprehension__SL_markscheme.pdf,https://dl.ibdocs.re/documents/english-b-listening-comprehension-sl-markscheme-fc9c237b930e3e1c,2022,May 2022 Examination Session,English B,English; SL,markscheme,May 2022 Examination Session/Language acquisition/English_B_listening_comprehension__SL_markscheme.pdf,resources/private/past-papers/2022-2026/languages/2022/May 2022 Examination Session/Language acquisition/English_B_listening_comprehension__SL_markscheme.pdf,application/pdf,566069,5b418a33cb7ef6ba482ff29de965cfbd0e8a5d862bbddb9b13c05d5968b4a992,2026-09-02,downloaded,size_and_sha256_verified,"Private reference copy; the source page states CC BY-NC-ND 4.0 for the webpage, but rights for the exam file are not stated and are presumed third-party/IB copyright. Do not redistribute or commit the binary.",
https://ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Language%20acquisition/English_B_listening_comprehension__SL.pdf,https://dl.ibdocs.re/documents/english-b-listening-comprehension-sl-9e00962cd7c8d109,2022,May 2022 Examination Session,English B,English; SL,listening question paper/associated material,May 2022 Examination Session/Language acquisition/English_B_listening_comprehension__SL.pdf,resources/private/past-papers/2022-2026/languages/2022/May 2022 Examination Session/Language acquisition/English_B_listening_comprehension__SL.pdf,application/pdf,1435658,d496c5b71118ed34f55095f9cb8580869435b3c91954ad5eee9b8d37a6e5c449,2026-09-02,downloaded,size_and_sha256_verified,"Private reference copy; the source page states CC BY-NC-ND 4.0 for the webpage, but rights for the exam file are not stated and are presumed third-party/IB copyright. Do not redistribute or commit the binary.",
https://ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Language%20acquisition/English_B_paper_1__HL_markscheme.pdf,https://dl.ibdocs.re/documents/english-b-paper-1-hl-markscheme-cae955765c421a25,2022,May 2022 Examination Session,English B,English; HL,markscheme,May 2022 Examination Session/Language acquisition/English_B_paper_1__HL_markscheme.pdf,resources/private/past-papers/2022-2026/languages/2022/May 2022 Examination Session/Language acquisition/English_B_paper_1__HL_markscheme.pdf,application/pdf,484003,af5fe8a49213d8d0ce4fdb591bd7b2ef357afb55e25a9276e93383ad31ca4dd0,2026-09-02,downloaded,size_and_sha256_verified,"Private reference copy; the source page states CC BY-NC-ND 4.0 for the webpage, but rights for the exam file are not stated and are presumed third-party/IB copyright. Do not redistribute or commit the binary.",
https://ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Language%20acquisition/English_B_paper_1__HL.pdf,https://dl.ibdocs.re/documents/english-b-paper-1-hl-ac4ef27336a7bbe2,2022,May 2022 Examination Session,English B,English; HL,question paper,May 2022 Examination Session/Language acquisition/English_B_paper_1__HL.pdf,resources/private/past-papers/2022-2026/languages/2022/May 2022 Examination Session/Language acquisition/English_B_paper_1__HL.pdf,application/pdf,293514,3bbb23718f4f36c0b358884d1cc8b6e73490924b671b3c9c1bf04f561a53da67,2026-09-02,downloaded,size_and_sha256_verified,"Private reference copy; the source page states CC BY-NC-ND 4.0 for the webpage, but rights for the exam file are not stated and are presumed third-party/IB copyright. Do not redistribute or commit the binary.",
