year,session,subject,language,variant,material_type,filename,source_url,listing_url,local_path,status,size_bytes,sha256,retrieved_date,rights_note
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,German,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_1__[German]_HL.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__%5BGerman%5D_HL.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__[German]_HL.pdf,already-present,667187,2496c6ea0067a5fd96eddbedb12eaf8bb7ea70d318177b7592db9eccf0084766,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,German,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_1__[German]_SL.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__%5BGerman%5D_SL.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__[German]_SL.pdf,already-present,701736,f19cfd8a7bfce130c120fda6e63fd1269b0aa980b09fada1a0c0ec30215a5d5e,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,French,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_1__HL_French.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__HL_French.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__HL_French.pdf,already-present,720842,b8e9698e47f88a969d074836a7587983ca93cf5e30ad8f16cea77993a928cc3a,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,Spanish,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_1__HL_Spanish.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__HL_Spanish.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__HL_Spanish.pdf,already-present,720707,e08ea0e85e076fa4f58748bc127b3348f62cd8da6739c93c2be9f71c430a5c11,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,French,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_1__SL_French.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__SL_French.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__SL_French.pdf,already-present,699610,736e8017d117b87ce81ac7ba42d17d70e59719fa320a853872cca416ebcee32c,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,Spanish,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_1__SL_Spanish.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__SL_Spanish.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__SL_Spanish.pdf,already-present,695719,675e7f5032328b9d5ce678ea6c00c94f09588ad837f4ecf75bcfda78263bca3c,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,English or unspecified,unspecified,markscheme,Mathematics_analysis_and_approaches_paper_1__TZ1_HL_markscheme.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ1_HL_markscheme.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ1_HL_markscheme.pdf,already-present,1594551,4010ce338830f983f8398e03e7c03bc7a237cbec59eaa2532e456cbbc3c15741,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,English or unspecified,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_1__TZ1_HL.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ1_HL.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ1_HL.pdf,already-present,614754,d37a2226450fb5e3b2007ff792c2f2a7f47ca6f2116c4522c7d7dcdc26ab4063,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,English or unspecified,unspecified,markscheme,Mathematics_analysis_and_approaches_paper_1__TZ1_SL_markscheme.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ1_SL_markscheme.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ1_SL_markscheme.pdf,already-present,1341202,320fcbed32b9cbba54097f261d46cb5f162f72a590e6f136cdd446a6f8ecd9a7,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,English or unspecified,unspecified,question-paper,Mathematics_analysis_and_approaches_paper_1__TZ1_SL.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ1_SL.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ1_SL.pdf,already-present,584886,1e79dfab9c1cce5a1f71b3532d5f67e55ddfe3caff5f145f0c7434f9ad414428,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
2022,May 2022 Examination Session,mathematics-analysis-and-approaches,English or unspecified,unspecified,markscheme,Mathematics_analysis_and_approaches_paper_1__TZ2_HL_markscheme.pdf,https://dl.ibdocs.re/p/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ2_HL_markscheme.pdf,https://dl.ibdocs.re/IB%20PAST%20PAPERS%20-%20YEAR/2022%20Examination%20Session/May%202022%20Examination%20Session/Mathematics,resources/private/past-papers/2022-2026/mathematics-sciences/2022/May 2022 Examination Session/Mathematics/Mathematics_analysis_and_approaches_paper_1__TZ2_HL_markscheme.pdf,already-present,1704973,3b8bc92ec537f0edf66a54b536b366681264c6f8ad7763c674f279bd738d8d65,2026-09-02,Unofficial mirror copy; private school research/reference only; authenticity and redistribution rights not established; do not commit or redistribute.
