year,session,subject,source_url,files_collected,status,note
2022,May 2022,Psychology,https://dl.ibdocs.re/past-papers/2022/may-2022,16,collected,All matching normal-session subject links collected
2022,November 2022,Psychology,https://dl.ibdocs.re/past-papers/2022/november-2022,9,collected,All matching normal-session subject links collected
2023,May 2023,Psychology,https://dl.ibdocs.re/past-papers/2023/may-2023,25,collected,24 normal-session files plus 1 additional file from More Papers M23
2023,November 2023,Psychology,https://dl.ibdocs.re/past-papers/2023/november-2023,17,collected,All matching normal-session subject links collected
2024,May 2024,Psychology,https://dl.ibdocs.re/past-papers/2024/may-2024,26,collected,All matching normal-session subject links collected
2024,November 2024,Psychology,https://dl.ibdocs.re/past-papers/2024/november-2024,14,collected,All matching normal-session subject links collected
2025,May 2025,Psychology,https://dl.ibdocs.re/past-papers/2025/may-2025,33,collected,All matching normal-session subject links collected
2025,November 2025,Psychology,https://dl.ibdocs.re/past-papers/2025/november-2025,23,collected,All matching normal-session subject links collected
2026,May 2026,Psychology,https://dl.ibdocs.re/past-papers/2026/more-papers-m26,0,unavailable_on_mirror_as_of_2026-09-02,The available 38-document M26 listing contained no Psychology match
2026,November 2026,Psychology,https://dl.ibdocs.re/past-papers/2026,0,session_not_listed_as_of_2026-09-02,November 2026 had not occurred and no archive was listed
